elliptical_sentences,,,,,full_sentences,,,,,contrast_sentences,,,,,tree_type
John can read poems but Mary cannot,,,,,John can read poems but Mary cannot read poems,,,,,John can read poems but Mary interprets,,,,,1
John can play tennis but Tim cannot,,,,,John can play tennis but Tim cannot play tennis,,,,,John can play tennis but Tim participates,,,,,1
Tim cannot study history but John can,,,,,Tim cannot study history but John can study history,,,,,Tim cannot study history but John learns,,,,,1
Tim cannot like sushi but John can,,,,,Tim cannot like sushi but John can like sushi,,,,,Tim cannot like sushi but John appreciates,,,,,1
Mary will like chess and John will,,,,,Mary will like chess and John will like chess,,,,,Mary will like chess and John appreciates,,,,,1
John can watch movies but Tim cannot,,,,,John can watch movies but Tim cannot watch movies,,,,,John can watch movies but Tim sees,,,,,1
John will study movies and Mary will,,,,,John will study movies and Mary will study movies,,,,,John will study movies and Mary learns,,,,,1
John can study math and Mary can,,,,,John can study math and Mary can study math,,,,,John can study math and Mary learns,,,,,1
Tim will play tennis and Mary will,,,,,Tim will play tennis and Mary will play tennis,,,,,Tim will play tennis and Mary participates,,,,,1
John cannot like music but Tim can,,,,,John cannot like music but Tim can like music,,,,,John cannot like music but Tim appreciates,,,,,1
Sarah will read novel and John will,,,,,Sarah will read novel and John will read novel,,,,,Sarah will read novel and John interprets,,,,,1
Sarah cannot teach history but Tim can,,,,,Sarah cannot teach history but Tim can teach history,,,,,Sarah cannot teach history but Tim tutors,,,,,1
Sarah can watch movies and Mary can,,,,,Sarah can watch movies and Mary can watch movies,,,,,Sarah can watch movies and Mary sees,,,,,1
Tim will like history and Mary will,,,,,Tim will like history and Mary will like history,,,,,Tim will like history and Mary appreciates,,,,,1
Tim cannot like tea but Mary can,,,,,Tim cannot like tea but Mary can like tea,,,,,Tim cannot like tea but Mary appreciates,,,,,1
Sarah cannot teach tennis but Tim can,,,,,Sarah cannot teach tennis but Tim can teach tennis,,,,,Sarah cannot teach tennis but Tim tutors,,,,,1
John cannot like music but Mary can,,,,,John cannot like music but Mary can like music,,,,,John cannot like music but Mary appreciates,,,,,1
John cannot watch movies but Sarah can,,,,,John cannot watch movies but Sarah can watch movies,,,,,John cannot watch movies but Sarah sees,,,,,1
John can like pizza but Tim cannot,,,,,John can like pizza but Tim cannot like pizza,,,,,John can like pizza but Tim appreciates,,,,,1
Sarah cannot like coffee but John can,,,,,Sarah cannot like coffee but John can like coffee,,,,,Sarah cannot like coffee but John appreciates,,,,,1
Mary can like music but John cannot,,,,,Mary can like music but John cannot like music,,,,,Mary can like music but John appreciates,,,,,1
Mary can study history and Tim can,,,,,Mary can study history and Tim can study history,,,,,Mary can study history and Tim learns,,,,,1
John can study history and Sarah can,,,,,John can study history and Sarah can study history,,,,,John can study history and Sarah learns,,,,,1
Mary will teach music and Tim will,,,,,Mary will teach music and Tim will teach music,,,,,Mary will teach music and Tim tutors,,,,,1
Mary will like math and John will,,,,,Mary will like math and John will like math,,,,,Mary will like math and John appreciates,,,,,1
John will teach history and Tim will,,,,,John will teach history and Tim will teach history,,,,,John will teach history and Tim tutors,,,,,1
John can cook sushi and Mary can,,,,,John can cook sushi and Mary can cook sushi,,,,,John can cook sushi and Mary makes,,,,,1
Mary will like pizza and Sarah will,,,,,Mary will like pizza and Sarah will like pizza,,,,,Mary will like pizza and Sarah appreciates,,,,,1
John can study TV shows but Tim cannot,,,,,John can study TV shows but Tim cannot TV shows,,,,,John can study TV shows but Tim learns,,,,,1
John will study math and Sarah will,,,,,John will study math and Sarah will study math,,,,,John will study math and Sarah learns,,,,,1
Sarah cannot teach chess but Mary can,,,,,Sarah cannot teach chess but Mary can teach chess,,,,,Sarah cannot teach chess but Mary tutors,,,,,1
Mary can play tennis and Tim can,,,,,Mary can play tennis and Tim can play tennis,,,,,Mary can play tennis and Tim participates,,,,,1
Sarah cannot study novel but Mary can,,,,,Sarah cannot study novel but Mary can study novel,,,,,Sarah cannot study novel but Mary learns,,,,,1
John cannot like coffee but Tim can,,,,,John cannot like coffee but Tim can like coffee,,,,,John cannot like coffee but Tim appreciates,,,,,1
Sarah cannot study music but John can,,,,,Sarah cannot study music but John can study music,,,,,Sarah cannot study music but John learns,,,,,1
Tim will like tennis and John will,,,,,Tim will like tennis and John will like tennis,,,,,Tim will like tennis and John appreciates,,,,,1
John can study tea but Mary cannot,,,,,John can study tea but Mary cannot study tea,,,,,John can study tea but Mary learns,,,,,1
Tim will like novel and Sarah will,,,,,Tim will like novel and Sarah will like novel,,,,,Tim will like novel and Sarah appreciates,,,,,1
Mary can play chess but John cannot,,,,,Mary can play chess but John cannot play chess,,,,,Mary can play chess but John participates,,,,,1
Mary can like chess but Tim cannot,,,,,Mary can like chess but Tim cannot like chess,,,,,Mary can like chess but Tim appreciates,,,,,1
Mary cannot like TV shows but Sarah can,,,,,Mary cannot like TV shows but Sarah can TV shows,,,,,Mary cannot like TV shows but Sarah appreciates,,,,,1
John will study TV shows and Mary will,,,,,John will study TV shows and Mary will TV shows,,,,,John will study TV shows and Mary learns,,,,,1
John will like music and Tim will,,,,,John will like music and Tim will like music,,,,,John will like music and Tim appreciates,,,,,1
John will like history and Mary will,,,,,John will like history and Mary will like history,,,,,John will like history and Mary appreciates,,,,,1
John cannot teach math but Mary can,,,,,John cannot teach math but Mary can teach math,,,,,John cannot teach math but Mary tutors,,,,,1
Mary can study novel but Sarah cannot,,,,,Mary can study novel but Sarah cannot study novel,,,,,Mary can study novel but Sarah learns,,,,,1
Mary can like pizza but Sarah cannot,,,,,Mary can like pizza but Sarah cannot like pizza,,,,,Mary can like pizza but Sarah appreciates,,,,,1
Sarah cannot study history but John can,,,,,Sarah cannot study history but John can study history,,,,,Sarah cannot study history but John learns,,,,,1
Mary can watch TV shows and John can,,,,,Mary can watch TV shows and John can TV shows,,,,,Mary can watch TV shows and John sees,,,,,1
Tim will read poems and Sarah will,,,,,Tim will read poems and Sarah will read poems,,,,,Tim will read poems and Sarah interprets,,,,,1
Mary will study music and John will,,,,,Mary will study music and John will study music,,,,,Mary will study music and John learns,,,,,1
Mary cannot read poems but John can,,,,,Mary cannot read poems but John can read poems,,,,,Mary cannot read poems but John interprets,,,,,1
John can cook pizza but Tim cannot,,,,,John can cook pizza but Tim cannot cook pizza,,,,,John can cook pizza but Tim makes,,,,,1
Mary can study TV shows and Sarah can,,,,,Mary can study TV shows and Sarah can TV shows,,,,,Mary can study TV shows and Sarah learns,,,,,1
Sarah can play tennis and Mary can,,,,,Sarah can play tennis and Mary can play tennis,,,,,Sarah can play tennis and Mary participates,,,,,1
John can read novel and Sarah can,,,,,John can read novel and Sarah can read novel,,,,,John can read novel and Sarah interprets,,,,,1
Tim cannot study movies but Mary can,,,,,Tim cannot study movies but Mary can study movies,,,,,Tim cannot study movies but Mary learns,,,,,1
John cannot study sushi but Sarah can,,,,,John cannot study sushi but Sarah can study sushi,,,,,John cannot study sushi but Sarah learns,,,,,1
John can study music but Tim cannot,,,,,John can study music but Tim cannot study music,,,,,John can study music but Tim learns,,,,,1
John can study TV shows but Sarah cannot,,,,,John can study TV shows but Sarah cannot TV shows,,,,,John can study TV shows but Sarah learns,,,,,1
Mary can teach chess but Tim cannot,,,,,Mary can teach chess but Tim cannot teach chess,,,,,Mary can teach chess but Tim tutors,,,,,1
John can like chess but Mary cannot,,,,,John can like chess but Mary cannot like chess,,,,,John can like chess but Mary appreciates,,,,,1
John will like movies and Mary will,,,,,John will like movies and Mary will like movies,,,,,John will like movies and Mary appreciates,,,,,1
Mary can study TV shows but Sarah cannot,,,,,Mary can study TV shows but Sarah cannot TV shows,,,,,Mary can study TV shows but Sarah learns,,,,,1
Mary will like movies and John will,,,,,Mary will like movies and John will like movies,,,,,Mary will like movies and John appreciates,,,,,1
Tim will watch movies and Sarah will,,,,,Tim will watch movies and Sarah will watch movies,,,,,Tim will watch movies and Sarah sees,,,,,1
John will teach tennis and Mary will,,,,,John will teach tennis and Mary will teach tennis,,,,,John will teach tennis and Mary tutors,,,,,1
John can study tea and Sarah can,,,,,John can study tea and Sarah can study tea,,,,,John can study tea and Sarah learns,,,,,1
Mary can play chess and Sarah can,,,,,Mary can play chess and Sarah can play chess,,,,,Mary can play chess and Sarah participates,,,,,1
Sarah will study math and Mary will,,,,,Sarah will study math and Mary will study math,,,,,Sarah will study math and Mary learns,,,,,1
John cannot like poems but Tim can,,,,,John cannot like poems but Tim can like poems,,,,,John cannot like poems but Tim appreciates,,,,,1
Mary cannot study music but Sarah can,,,,,Mary cannot study music but Sarah can study music,,,,,Mary cannot study music but Sarah learns,,,,,1
Tim will teach math and Sarah will,,,,,Tim will teach math and Sarah will teach math,,,,,Tim will teach math and Sarah tutors,,,,,1
John will cook sushi and Tim will,,,,,John will cook sushi and Tim will cook sushi,,,,,John will cook sushi and Tim makes,,,,,1
Mary will cook sushi and Sarah will,,,,,Mary will cook sushi and Sarah will cook sushi,,,,,Mary will cook sushi and Sarah makes,,,,,1
John can study history but Tim cannot,,,,,John can study history but Tim cannot study history,,,,,John can study history but Tim learns,,,,,1
Tim will study pizza and Sarah will,,,,,Tim will study pizza and Sarah will study pizza,,,,,Tim will study pizza and Sarah learns,,,,,1
Sarah cannot read novel but John can,,,,,Sarah cannot read novel but John can read novel,,,,,Sarah cannot read novel but John interprets,,,,,1
Mary can study tea but Sarah cannot,,,,,Mary can study tea but Sarah cannot study tea,,,,,Mary can study tea but Sarah learns,,,,,1
Mary will study novel and Sarah will,,,,,Mary will study novel and Sarah will study novel,,,,,Mary will study novel and Sarah learns,,,,,1
Tim will watch movies and John will,,,,,Tim will watch movies and John will watch movies,,,,,Tim will watch movies and John sees,,,,,1
Sarah cannot like coffee but Tim can,,,,,Sarah cannot like coffee but Tim can like coffee,,,,,Sarah cannot like coffee but Tim appreciates,,,,,1
Sarah cannot like poems but Tim can,,,,,Sarah cannot like poems but Tim can like poems,,,,,Sarah cannot like poems but Tim appreciates,,,,,1
Mary can like sushi but Sarah cannot,,,,,Mary can like sushi but Sarah cannot like sushi,,,,,Mary can like sushi but Sarah appreciates,,,,,1
John can teach chess but Sarah cannot,,,,,John can teach chess but Sarah cannot teach chess,,,,,John can teach chess but Sarah tutors,,,,,1
John can study pizza and Tim can,,,,,John can study pizza and Tim can study pizza,,,,,John can study pizza and Tim learns,,,,,1
Sarah will study history and Tim will,,,,,Sarah will study history and Tim will study history,,,,,Sarah will study history and Tim learns,,,,,1
John cannot study tea but Sarah can,,,,,John cannot study tea but Sarah can study tea,,,,,John cannot study tea but Sarah learns,,,,,1
John cannot like poems but Sarah can,,,,,John cannot like poems but Sarah can like poems,,,,,John cannot like poems but Sarah appreciates,,,,,1
John can teach chess but Tim cannot,,,,,John can teach chess but Tim cannot teach chess,,,,,John can teach chess but Tim tutors,,,,,1
John will like music and Sarah will,,,,,John will like music and Sarah will like music,,,,,John will like music and Sarah appreciates,,,,,1
Mary can like poems but Sarah cannot,,,,,Mary can like poems but Sarah cannot like poems,,,,,Mary can like poems but Sarah appreciates,,,,,1
John can study movies and Mary can,,,,,John can study movies and Mary can study movies,,,,,John can study movies and Mary learns,,,,,1
Mary will like poems and Tim will,,,,,Mary will like poems and Tim will like poems,,,,,Mary will like poems and Tim appreciates,,,,,1
Sarah will teach chess and Mary will,,,,,Sarah will teach chess and Mary will teach chess,,,,,Sarah will teach chess and Mary tutors,,,,,1
John can like TV shows but Mary cannot,,,,,John can like TV shows but Mary cannot TV shows,,,,,John can like TV shows but Mary appreciates,,,,,1
Mary cannot study math but John can,,,,,Mary cannot study math but John can study math,,,,,Mary cannot study math but John learns,,,,,1
Tim can study TV shows and Mary can,,,,,Tim can study TV shows and Mary can TV shows,,,,,Tim can study TV shows and Mary learns,,,,,1
Mary can watch TV shows and Sarah can,,,,,Mary can watch TV shows and Sarah can TV shows,,,,,Mary can watch TV shows and Sarah sees,,,,,1
John will teach music and Mary will,,,,,John will teach music and Mary will teach music,,,,,John will teach music and Mary tutors,,,,,1
Tim can teach music and Sarah can,,,,,Tim can teach music and Sarah can teach music,,,,,Tim can teach music and Sarah tutors,,,,,1
John can watch TV shows but Mary cannot,,,,,John can watch TV shows but Mary cannot TV shows,,,,,John can watch TV shows but Mary sees,,,,,1
Sarah can study pizza and Tim can,,,,,Sarah can study pizza and Tim can study pizza,,,,,Sarah can study pizza and Tim learns,,,,,1
Mary can like coffee but Tim cannot ,,,,,Mary can like coffee but Tim cannot like coffee,,,,,Mary can like coffee but Tim appreciates,,,,,1
Tim cannot cook sushi but Sarah can,,,,,Tim cannot cook sushi but Sarah can cook sushi,,,,,Tim cannot cook sushi but Sarah makes,,,,,1
Mary cannot like sushi but Sarah can,,,,,Mary cannot like sushi but Sarah can like sushi,,,,,Mary cannot like sushi but Sarah appreciates,,,,,1
Mary cannot study history but John can,,,,,Mary cannot study history but John can study history,,,,,Mary cannot study history but John learns,,,,,1
John will teach math and Tim will,,,,,John will teach math and Tim will teach math,,,,,John will teach math and Tim tutors,,,,,1
Tim cannot teach music but Mary can,,,,,Tim cannot teach music but Mary can teach music,,,,,Tim cannot teach music but Mary tutors,,,,,1
Tim can study history and John can,,,,,Tim can study history and John can study history,,,,,Tim can study history and John learns,,,,,1
John will teach math and Sarah will,,,,,John will teach math and Sarah will teach math,,,,,John will teach math and Sarah tutors,,,,,1
John can teach math but Mary cannot,,,,,John can teach math but Mary cannot teach math,,,,,John can teach math but Mary tutors,,,,,1
Tim cannot like coffee but Sarah can,,,,,Tim cannot like coffee but Sarah can like coffee,,,,,Tim cannot like coffee but Sarah appreciates,,,,,1
Sarah can teach music and Tim can,,,,,Sarah can teach music and Tim can teach music,,,,,Sarah can teach music and Tim tutors,,,,,1
Sarah will study sushi and Tim will,,,,,Sarah will study sushi and Tim will study sushi,,,,,Sarah will study sushi and Tim learns,,,,,1
Sarah cannot study movies but John can,,,,,Sarah cannot study movies but John can study movies,,,,,Sarah cannot study movies but John learns,,,,,1
Tim cannot like math but Sarah can,,,,,Tim cannot like math but Sarah can like math,,,,,Tim cannot like math but Sarah appreciates,,,,,1
Mary will like poems and John will,,,,,Mary will like poems and John will like poems,,,,,Mary will like poems and John appreciates,,,,,1
Mary cannot like coffee but John can,,,,,Mary cannot like coffee but John can like coffee,,,,,Mary cannot like coffee but John appreciates,,,,,1
Tim will like coffee and John will,,,,,Tim will like coffee and John will like coffee,,,,,Tim will like coffee and John appreciates,,,,,1
John can watch TV shows and Tim can,,,,,John can watch TV shows and Tim can TV shows,,,,,John can watch TV shows and Tim sees,,,,,1
John can study sushi and Tim can,,,,,John can study sushi and Tim can study sushi,,,,,John can study sushi and Tim learns,,,,,1
John will like sushi and Sarah will,,,,,John will like sushi and Sarah will like sushi,,,,,John will like sushi and Sarah appreciates,,,,,1
Sarah will like movies and Tim will,,,,,Sarah will like movies and Tim will like movies,,,,,Sarah will like movies and Tim appreciates,,,,,1
Sarah cannot study history but Mary can,,,,,Sarah cannot study history but Mary can study history,,,,,Sarah cannot study history but Mary learns,,,,,1
Sarah can cook sushi and Mary can,,,,,Sarah can cook sushi and Mary can cook sushi,,,,,Sarah can cook sushi and Mary makes,,,,,1
John can read poems but Sarah cannot,,,,,John can read poems but Sarah cannot read poems,,,,,John can read poems but Sarah interprets,,,,,1
Sarah will watch TV shows and Mary will,,,,,Sarah will watch TV shows and Mary will TV shows,,,,,Sarah will watch TV shows and Mary sees,,,,,1
Mary cannot like poems but Tim can,,,,,Mary cannot like poems but Tim can like poems,,,,,Mary cannot like poems but Tim appreciates,,,,,1
Sarah will watch movies and John will,,,,,Sarah will watch movies and John will watch movies,,,,,Sarah will watch movies and John sees,,,,,1
Sarah will teach chess and John will,,,,,Sarah will teach chess and John will teach chess,,,,,Sarah will teach chess and John tutors,,,,,1
Mary will cook pizza and John will,,,,,Mary will cook pizza and John will cook pizza,,,,,Mary will cook pizza and John makes,,,,,1
Tim cannot read novel but Mary can,,,,,Tim cannot read novel but Mary can read novel,,,,,Tim cannot read novel but Mary interprets,,,,,1
Mary can study novel and Tim can,,,,,Mary can study novel and Tim can study novel,,,,,Mary can study novel and Tim learns,,,,,1
Tim will study tea and Sarah will,,,,,Tim will study tea and Sarah will study tea,,,,,Tim will study tea and Sarah learns,,,,,1
Mary cannot study pizza but John can,,,,,Mary cannot study pizza but John can study pizza,,,,,Mary cannot study pizza but John learns,,,,,1
John can study math but Sarah cannot,,,,,John can study math but Sarah cannot study math,,,,,John can study math but Sarah learns,,,,,1
Tim will study TV shows and John will,,,,,Tim will study TV shows and John will study TV shows,,,,,Tim will study TV shows and John learns,,,,,1
John cannot like tea but Mary can,,,,,John cannot like tea but Mary can like tea,,,,,John cannot like tea but Mary appreciates,,,,,1
Sarah will teach history and Tim will,,,,,Sarah will teach history and Tim will teach history,,,,,Sarah will teach history and Tim tutors,,,,,1
Sarah cannot study music but Tim can,,,,,Sarah cannot study music but Tim can study music,,,,,Sarah cannot study music but Tim learns,,,,,1
Mary can play tennis but Tim cannot,,,,,Mary can play tennis but Tim cannot play tennis,,,,,Mary can play tennis but Tim participates,,,,,1
Tim will like history and Sarah will,,,,,Tim will like history and Sarah will like history,,,,,Tim will like history and Sarah appreciates,,,,,1
Sarah cannot like poems but John can,,,,,Sarah cannot like poems but John can like poems,,,,,Sarah cannot like poems but John appreciates,,,,,1
John cannot study coffee but Mary can,,,,,John cannot study coffee but Mary can study coffee,,,,,John cannot study coffee but Mary learns,,,,,1
Sarah cannot study pizza but Tim can,,,,,Sarah cannot study pizza but Tim can study pizza,,,,,Sarah cannot study pizza but Tim learns,,,,,1
Mary will study movies and John will,,,,,Mary will study movies and John will study movies,,,,,Mary will study movies and John learns,,,,,1
John will study pizza and Tim will,,,,,John will study pizza and Tim will study pizza,,,,,John will study pizza and Tim learns,,,,,1
Tim will read novel and John will,,,,,Tim will read novel and John will read novel,,,,,Tim will read novel and John interprets,,,,,1
Sarah will like TV shows and Mary will,,,,,Sarah will like TV shows and Mary will TV shows,,,,,Sarah will like TV shows and Mary appreciates,,,,,1
John can like chess but Tim cannot,,,,,John can like chess but Tim cannot like chess,,,,,John can like chess but Tim appreciates,,,,,1
John will study pizza and Mary will,,,,,John will study pizza and Mary will study pizza,,,,,John will study pizza and Mary learns,,,,,1
Mary can read novel and John can,,,,,Mary can read novel and John can read novel,,,,,Mary can read novel and John interprets,,,,,1
Mary cannot like music but Tim can,,,,,Mary cannot like music but Tim can like music,,,,,Mary cannot like music but Tim appreciates,,,,,1
Mary cannot study movies but Tim can,,,,,Mary cannot study movies but Tim can study movies,,,,,Mary cannot study movies but Tim learns,,,,,1
Tim cannot study pizza but Mary can,,,,,Tim cannot study pizza but Mary can study pizza,,,,,Tim cannot study pizza but Mary learns,,,,,1
Mary cannot teach tennis but Tim can,,,,,Mary cannot teach tennis but Tim can teach tennis,,,,,Mary cannot teach tennis but Tim tutors,,,,,1
John can play chess and Sarah can,,,,,John can play chess and Sarah can play chess,,,,,John can play chess and Sarah participates,,,,,1
Mary will study movies and Tim will,,,,,Mary will study movies and Tim will study movies,,,,,Mary will study movies and Tim learns,,,,,1
John will play tennis and Tim will,,,,,John will play tennis and Tim will play tennis,,,,,John will play tennis and Tim participates,,,,,1
John will read poems and Mary will,,,,,John will read poems and Mary will read poems,,,,,John will read poems and Mary interprets,,,,,1
Tim can study coffee and Sarah can,,,,,Tim can study coffee and Sarah can study coffee,,,,,Tim can study coffee and Sarah learns,,,,,1
Sarah will like novel and Tim will,,,,,Sarah will like novel and Tim will like novel,,,,,Sarah will like novel and Tim appreciates,,,,,1
Sarah will like chess and Tim will,,,,,Sarah will like chess and Tim will like chess,,,,,Sarah will like chess and Tim appreciates,,,,,1
Mary can play chess and John can,,,,,Mary can play chess and John can play chess,,,,,Mary can play chess and John participates,,,,,1
Tim will like novel and Mary will,,,,,Tim will like novel and Mary will like novel,,,,,Tim will like novel and Mary appreciates,,,,,1
John can like novel but Mary cannot,,,,,John can like novel but Mary cannot like novel,,,,,John can like novel but Mary appreciates,,,,,1
Mary cannot study history but Tim can,,,,,Mary cannot study history but Tim can study history,,,,,Mary cannot study history but Tim learns,,,,,1
John will like TV shows and Mary will,,,,,John will like TV shows and Mary will TV shows,,,,,John will like TV shows and Mary appreciates,,,,,1
Sarah cannot watch movies but John can,,,,,Sarah cannot watch movies but John can watch movies,,,,,Sarah cannot watch movies but John sees,,,,,1
Mary can study music and Sarah can,,,,,Mary can study music and Sarah can study music,,,,,Mary can study music and Sarah learns,,,,,1
Tim can teach music and Mary can,,,,,Tim can teach music and Mary can teach music,,,,,Tim can teach music and Mary tutors,,,,,1
John will study music and Mary will,,,,,John will study music and Mary will study music,,,,,John will study music and Mary learns,,,,,1
Sarah will cook sushi and John will,,,,,Sarah will cook sushi and John will cook sushi,,,,,Sarah will cook sushi and John makes,,,,,1
John can watch movies and Mary can,,,,,John can watch movies and Mary can watch movies,,,,,John can watch movies and Mary sees,,,,,1
Tim will study music and John will,,,,,Tim will study music and John will study music,,,,,Tim will study music and John learns,,,,,1
Tim cannot study sushi but Mary can,,,,,Tim cannot study sushi but Mary can study sushi,,,,,Tim cannot study sushi but Mary learns,,,,,1
John can like poems but Mary cannot,,,,,John can like poems but Mary cannot like poems,,,,,John can like poems but Mary appreciates,,,,,1
Tim can teach history and John can,,,,,Tim can teach history and John can teach history,,,,,Tim can teach history and John tutors,,,,,1
Tim will like novel and John will,,,,,Tim will like novel and John will like novel,,,,,Tim will like novel and John appreciates,,,,,1
Sarah cannot cook sushi but Tim can,,,,,Sarah cannot cook sushi but Tim can cook sushi,,,,,Sarah cannot cook sushi but Tim makes,,,,,1
Tim will watch TV shows and John will,,,,,Tim will watch TV shows and John will TV shows,,,,,Tim will watch TV shows and John sees,,,,,1
Mary cannot like sushi but John can,,,,,Mary cannot like sushi but John can like sushi,,,,,Mary cannot like sushi but John appreciates,,,,,1
John cannot read poems but Sarah can,,,,,John cannot read poems but Sarah can read poems,,,,,John cannot read poems but Sarah interprets,,,,,1
Sarah will like history and Tim will,,,,,Sarah will like history and Tim will like history,,,,,Sarah will like history and Tim appreciates,,,,,1
John cannot study history but Mary can,,,,,John cannot study history but Mary can study history,,,,,John cannot study history but Mary learns,,,,,1
Mary cannot like tea but Tim can,,,,,Mary cannot like tea but Tim can like tea,,,,,Mary cannot like tea but Tim appreciates,,,,,1
John can like sushi but Sarah cannot,,,,,John can like sushi but Sarah cannot like sushi,,,,,John can like sushi but Sarah appreciates,,,,,1
Sarah can study math and Tim can,,,,,Sarah can study math and Tim can study math,,,,,Sarah can study math and Tim learns,,,,,1
Sarah cannot like novel but John can,,,,,Sarah cannot like novel but John can like novel,,,,,Sarah cannot like novel but John appreciates,,,,,1
Sarah will like novel and John will,,,,,Sarah will like novel and John will like novel,,,,,Sarah will like novel and John appreciates,,,,,1
John will watch TV shows and Mary will,,,,,John will watch TV shows and Mary will TV shows,,,,,John will watch TV shows and Mary sees,,,,,1
John can study history and Tim can,,,,,John can study history and Tim can study history,,,,,John can study history and Tim learns,,,,,1
Sarah cannot like music but John can,,,,,Sarah cannot like music but John can like music,,,,,Sarah cannot like music but John appreciates,,,,,1
Tim will cook sushi and Sarah will,,,,,Tim will cook sushi and Sarah will cook sushi,,,,,Tim will cook sushi and Sarah makes,,,,,1
Mary can study chess and Tim can,,,,,Mary can study chess and Tim can study chess,,,,,Mary can study chess and Tim learns,,,,,1
Tim will study movies and Mary will,,,,,Tim will study movies and Mary will study movies,,,,,Tim will study movies and Mary learns,,,,,1
Sarah cannot watch movies but Mary can,,,,,Sarah cannot watch movies but Mary can watch movies,,,,,Sarah cannot watch movies but Mary sees,,,,,1
Mary can study sushi but Sarah cannot,,,,,Mary can study sushi but Sarah cannot study sushi,,,,,Mary can study sushi but Sarah learns,,,,,1
John will like math and Sarah will,,,,,John will like math and Sarah will like math,,,,,John will like math and Sarah appreciates,,,,,1
Mary will study music and Sarah will,,,,,Mary will study music and Sarah will study music,,,,,Mary will study music and Sarah learns,,,,,1
Tim can teach history and Sarah can,,,,,Tim can teach history and Sarah can teach history,,,,,Tim can teach history and Sarah tutors,,,,,1
Sarah can read poems and John can,,,,,Sarah can read poems and John can read poems,,,,,Sarah can read poems and John interprets,,,,,1
Mary can watch TV shows but Sarah cannot,,,,,Mary can watch TV shows but Sarah cannot TV shows,,,,,Mary can watch TV shows but Sarah sees,,,,,1
John will teach music and Tim will,,,,,John will teach music and Tim will teach music,,,,,John will teach music and Tim tutors,,,,,1
John will teach history and Mary will,,,,,John will teach history and Mary will teach history,,,,,John will teach history and Mary tutors,,,,,1
John can read novel and Tim can,,,,,John can read novel and Tim can read novel,,,,,John can read novel and Tim interprets,,,,,1
Mary cannot read novel but Tim can,,,,,Mary cannot read novel but Tim can read novel,,,,,Mary cannot read novel but Tim interprets,,,,,1
Mary can study tea and John can,,,,,Mary can study tea and John can study tea,,,,,Mary can study tea and John learns,,,,,1
Mary will teach math and Sarah will,,,,,Mary will teach math and Sarah will teach math,,,,,Mary will teach math and Sarah tutors,,,,,1
Sarah can study history and Tim can,,,,,Sarah can study history and Tim can study history,,,,,Sarah can study history and Tim learns,,,,,1
Mary cannot like tea but John can,,,,,Mary cannot like tea but John can like tea,,,,,Mary cannot like tea but John appreciates,,,,,1
Tim will study chess and Sarah will,,,,,Tim will study chess and Sarah will study chess,,,,,Tim will study chess and Sarah learns,,,,,1
John will like history and Sarah will,,,,,John will like history and Sarah will like history,,,,,John will like history and Sarah appreciates,,,,,1
Mary can play tennis but John cannot,,,,,Mary can play tennis but John cannot play tennis,,,,,Mary can play tennis but John participates,,,,,1
Mary can study sushi and Sarah can,,,,,Mary can study sushi and Sarah can study sushi,,,,,Mary can study sushi and Sarah learns,,,,,1
John cannot study novel but Tim can,,,,,John cannot study novel but Tim can study novel,,,,,John cannot study novel but Tim learns,,,,,1
Mary can like history but John cannot,,,,,Mary can like history but John cannot like history,,,,,Mary can like history but John appreciates,,,,,1
John cannot study math but Tim can,,,,,John cannot study math but Tim can study math,,,,,John cannot study math but Tim learns,,,,,1
Mary cannot study music but Tim can,,,,,Mary cannot study music but Tim can study music,,,,,Mary cannot study music but Tim learns,,,,,1
Tim cannot cook pizza but Mary can,,,,,Tim cannot cook pizza but Mary can cook pizza,,,,,Tim cannot cook pizza but Mary makes,,,,,1
Sarah will play tennis and Tim will,,,,,Sarah will play tennis and Tim will play tennis,,,,,Sarah will play tennis and Tim participates,,,,,1
Tim will study pizza and Mary will,,,,,Tim will study pizza and Mary will study pizza,,,,,Tim will study pizza and Mary learns,,,,,1
Tim will study novel and Sarah will,,,,,Tim will study novel and Sarah will study novel,,,,,Tim will study novel and Sarah learns,,,,,1
Tim can play chess and John can,,,,,Tim can play chess and John can play chess,,,,,Tim can play chess and John participates,,,,,1
Sarah can teach history and Mary can,,,,,Sarah can teach history and Mary can teach history,,,,,Sarah can teach history and Mary tutors,,,,,1
Mary can like novel but Sarah cannot,,,,,Mary can like novel but Sarah cannot like novel,,,,,Mary can like novel but Sarah appreciates,,,,,1
Sarah can study TV shows and John can,,,,,Sarah can study TV shows and John can TV shows,,,,,Sarah can study TV shows and John learns,,,,,1
John will study sushi and Sarah will,,,,,John will study sushi and Sarah will study sushi,,,,,John will study sushi and Sarah learns,,,,,1
Mary cannot like history but John can,,,,,Mary cannot like history but John can like history,,,,,Mary cannot like history but John appreciates,,,,,1
Mary cannot teach history but Tim can,,,,,Mary cannot teach history but Tim can teach history,,,,,Mary cannot teach history but Tim tutors,,,,,1
Sarah can study math and Mary can,,,,,Sarah can study math and Mary can study math,,,,,Sarah can study math and Mary learns,,,,,1
Tim can study pizza and Sarah can,,,,,Tim can study pizza and Sarah can study pizza,,,,,Tim can study pizza and Sarah learns,,,,,1
John can like music but Mary cannot,,,,,John can like music but Mary cannot like music,,,,,John can like music but Mary appreciates,,,,,1
